"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2026","88.35","90.50","90.50","87.10","16.01M","-2.21%"
"05/10/2026","90.35","88.00","94.80","87.00","20.54M","2.61%"
"05/03/2026","88.05","89.75","92.00","88.05","17.46M","-1.62%"
"04/26/2026","89.50","92.30","92.75","89.50","22.13M","-2.82%"
"04/19/2026","92.10","99.30","101.80","92.10","21.52M","-7.16%"
"04/12/2026","99.20","101.30","103.00","98.25","14.21M","-2.17%"
"04/05/2026","101.40","101.60","106.40","99.70","7.38M","-0.20%"
"03/29/2026","101.60","98.50","101.80","92.90","11.00M","3.15%"
"03/22/2026","98.50","99.05","101.00","96.00","12.60M","-0.51%"
"03/15/2026","99.00","99.60","101.90","96.30","17.08M","-1.00%"
"03/08/2026","100.00","106.00","107.00","100.00","18.91M","-8.26%"
"03/01/2026","109.00","116.00","116.10","107.00","13.92M","-6.03%"
"02/22/2026","116.00","118.70","121.10","116.00","11.38M","-2.27%"
"02/15/2026","118.70","117.10","118.70","116.00","3.98M","1.37%"
"02/08/2026","117.10","117.10","121.50","115.00","9.62M","0.00%"
"02/01/2026","117.10","118.80","119.10","115.50","5.52M","-5.56%"
"01/25/2026","124.00","116.00","124.00","111.90","14.09M","6.90%"
"01/18/2026","116.00","124.60","125.40","116.00","10.70M","-6.90%"
"01/11/2026","124.60","120.00","125.50","119.90","14.17M","3.23%"
"01/04/2026","120.70","117.10","123.00","117.10","9.96M","1.77%"
"12/28/2025","118.60","119.60","119.80","116.10","1.77M","-0.84%"
"12/21/2025","119.60","116.00","120.00","116.00","4.08M","3.10%"
"12/14/2025","116.00","115.20","121.20","115.20","12.14M","0.69%"
"12/07/2025","115.20","116.00","116.30","112.90","10.13M","-0.69%"
"11/30/2025","116.00","116.60","118.30","112.50","15.79M","-0.43%"
"11/23/2025","116.50","113.00","118.50","110.50","41.47M","3.10%"
"11/16/2025","113.00","100.00","113.00","99.00","23.09M","14.14%"
"11/09/2025","99.00","104.00","105.00","99.00","11.44M","-4.81%"
"11/02/2025","104.00","101.70","107.00","100.00","22.83M","-1.33%"
"10/26/2025","105.40","101.00","107.50","100.50","11.48M","4.88%"
"10/19/2025","100.50","109.40","111.20","100.50","16.44M","-7.97%"
"10/12/2025","109.20","106.50","109.40","105.00","7.97M","2.63%"
"10/05/2025","106.40","113.00","114.40","106.00","9.95M","-5.84%"
"09/28/2025","113.00","112.00","115.00","108.50","9.70M","0.89%"
"09/21/2025","112.00","114.50","114.60","109.50","7.32M","-2.18%"
"09/14/2025","114.50","107.80","115.40","102.30","24.83M","6.02%"
"09/07/2025","108.00","111.80","112.70","106.90","14.12M","-3.23%"
"08/31/2025","111.60","113.90","114.00","108.00","14.03M","-1.24%"
"08/24/2025","113.00","114.00","116.30","108.30","15.66M","-1.14%"
"08/17/2025","114.30","119.50","120.00","112.40","9.63M","-3.54%"
"08/10/2025","118.50","121.00","121.70","116.00","22.52M","-1.99%"
"08/03/2025","120.90","120.90","124.80","118.70","6.89M","0.33%"
"07/27/2025","120.50","122.80","123.70","118.00","11.49M","-1.87%"
"07/20/2025","122.80","122.50","128.60","122.00","13.26M","0.66%"
"07/13/2025","122.00","123.00","124.20","118.50","11.59M","-0.81%"
"07/06/2025","123.00","124.70","128.30","120.00","22.24M","-1.36%"
"06/29/2025","124.70","133.40","134.00","124.00","21.00M","-6.38%"
"06/22/2025","133.20","136.50","137.20","131.30","9.78M","-2.70%"
"06/15/2025","136.90","138.70","140.00","134.00","14.10M","-1.30%"
"06/08/2025","138.70","139.20","139.60","136.30","15.13M","-0.93%"
"06/01/2025","140.00","138.40","142.00","137.40","8.27M","0.65%"
"05/25/2025","139.10","139.80","141.00","137.70","12.13M","-0.50%"
"05/18/2025","139.80","135.50","139.80","131.10","16.01M","2.87%"
"05/11/2025","135.90","137.90","143.30","133.10","9.49M","-0.66%"
"05/04/2025","136.80","142.50","143.90","134.50","9.90M","-4.00%"
"04/27/2025","142.50","134.30","144.90","132.50","10.88M","6.11%"
"04/20/2025","134.30","132.50","135.50","131.50","7.18M","1.74%"
"04/13/2025","132.00","130.20","133.00","129.20","3.04M","1.54%"
"04/06/2025","130.00","128.00","135.50","127.30","15.24M","-2.26%"
"03/30/2025","133.00","134.50","138.10","130.50","8.52M","-1.19%"
